location,latitude,longitude,address
Kaval Byrasandra,13.0200235,77.6092887,"Kaval Byrasandra, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Kaggalipura,12.855621,77.7246606,"Kaggalipura, Kommasandra, Anekal, Bengaluru Urban, Karnataka, India"
6th Phase JP Nagar,12.9119148,77.5798871,"JP Nagar 1st Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Ulsoor,12.9778793,77.6246697,"Halasuru, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Thigalarapalya,13.0170955,77.4829741,"Thigalara Palya, Andrahalli Main Road, Andrahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560058, India"
Basaveshwara Nagar,12.9932739,77.5388099,"The Raymond Shop, Siddhaiah Puranik Road, Kirloskar Colony, Basaveshwaranagar, Kethamaranahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India"
Bommasandra,12.8160161,77.6892217,"Bommasandra, Kittaganahalli, Anekal, Bengaluru Urban, Karnataka, India"
Harlur,12.9058923,77.675465,"BRS Global Centre For Excellence, #15/3, Off Sarjapur Main Road, KPC Layout, Kasavanahalli, IAS Layout, Eastwood Twp, Harlur, Bengaluru, Karnataka 560035, Central Jail Road, Kasavanahalli, Kaikondrahalli, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India"
Kodihalli,12.9635497,77.6460411,"Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Narayanapura,13.0716969,77.6193949,"Jn of Srirampura Road, MCECHS Layout Main Road, Arkavathy Layout 8th Block, Arkavathy Layout, Jakkur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560077, India"
Bannerghatta Road,12.9297282,77.6004731,"Bannerghatta Road, BHEL Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560041, India"
Hennur,13.037077,77.6413572,"Hennur, HBR Layout, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
Jalahalli,13.0394104,77.5197351,"Jalahalli, Tumkur Road, Peenya Industrial Area, Peenya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560058, India"
Mahadevpura,12.9968412,77.6928386,"Mahadevpura Police Station, Whitefield Road, Devasandra, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Anekal,12.7836552,77.7461411,"Nova Granites (India) Ltd, 25A, Krishnasagara, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 562107, India"
Sompura,12.8778283,77.4972385,"Sompura, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
Dodda Nekkundi,12.9725581,77.692858,"Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Hosur Road,12.89339,77.6374009,"Hosur Road, Bandepalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
Battarahalli,13.0083395,77.7094472,"Ayyappa Nagar - Battarahalli Road, Basavanapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
Ambalipura,12.9173303,77.667161,"Ambalipura, Haralur, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560103, India"
Hoodi,12.9959233,77.7192796,"Hoodi, Kumbena Agrahara Main Road, Hoody Garden, Hoodi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Brookefield,12.9652094,77.717936,"Brookefield, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India"
Yelenahalli,12.8646227,77.6081639,"Yelenahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Ardendale,13.0261749,77.766388,"MIMS Ardendale Villas and Row Houses, Kannamangala, Bangalore East, Bengaluru Urban, Karnataka, India"
